      date        h         min      t_sum  MLT   MLAT   GLON   GLAT
 10.11.2013       8         15       8.25 22.92  69.85 233.31  65.26
 10.11.2013      14         16      14.27  0.23  65.67 147.89  70.62
 10.11.2013      19         39      19.65  0.12  65.95  61.21   69.6
 11.11.2013      16         57      16.95  2.63  65.67 147.89  70.62
 12.11.2013       3          9       3.15 23.56  72.21 291.48  63.75
 13.11.2013       4         57       4.95 21.06   57.6 247.13  49.64
 13.11.2013       9          8       9.13  1.31   57.6 247.13  49.64
 13.11.2013      12         44      12.73  0.38  65.37 180.63  68.88
 14.11.2013       8         25       8.42  0.63   57.6 247.13  49.64
 14.11.2013      17          0      17.00  1.64  66.71 128.92  71.59
 15.11.2013       1         42       1.70 21.99  72.21 291.48  63.75
 15.11.2013       4          3       4.05 21.92  72.45 267.89  62.82
 15.11.2013      15          7      15.12   2.7  65.37 180.63  68.88
 16.11.2013       2         53       2.88  1.11  65.75 314.56  61.16
 16.11.2013       9         54       9.90 22.81  70.87 216.35  70.14
 16.11.2013      12         29      12.48  0.12  65.37 180.63  68.88
 16.11.2013      21         53      21.88 23.73  66.86  16.03   69.3
 17.11.2013       0         55       0.92 22.62  69.98 308.27  64.17
 17.11.2013       6          5       6.08 22.17  67.48 248.89  58.77
 17.11.2013      11          1      11.02  2.28  67.47 238.77  61.76
 17.11.2013      20         35      20.58  1.35  67.35  66.83  71.16
 18.11.2013       1         39       1.65 23.76  65.75 314.56  61.16
 19.11.2013      17         29      17.48 23.25  69.34   80.7  73.53
 19.11.2013      20         33      20.55  22.9  71.89   19.2   74.5
 20.11.2013       7         42       7.70 23.53  69.42 245.52  62.48
 21.11.2013      23          9      23.15  1.33   67.8  22.22  70.54
 22.11.2013      20         35      20.58  1.31  67.35  66.83  71.16
 23.11.2013       8          0       8.00 23.28  67.47 238.77  61.76
 23.11.2013      14         17      14.28  2.97  65.59 199.56  66.97
 29.11.2013       6         56       6.93 22.75  69.42 245.52  62.48
 29.11.2013       9          6       9.10 22.79  66.59 220.89  64.05
 29.11.2013      15         48      15.80  1.61  65.67 147.89  70.62
 30.11.2013       1          8       1.13 22.83  67.41 310.32     62
 30.11.2013       5         49       5.82 23.62   68.5 265.79  57.71
 30.11.2013       7         32       7.53  1.61  72.45 267.89  62.82
 30.11.2013      13         56      13.93  2.63  65.59 199.56  66.97
 30.11.2013      17         53      17.88  2.33  66.71 128.92  71.59
 30.11.2013      19         56      19.93  0.62  67.35  66.83  71.16
 01.12.2013       6         10       6.17 23.04     67 256.32  58.22
 01.12.2013       9         19       9.32 22.99  66.59 220.89  64.05
 03.12.2013       2         41       2.68  2.69  71.63 338.03  70.48
 03.12.2013       9         33       9.55  0.73  67.47 238.77  61.76
 03.12.2013      19         18      19.30 23.61  65.95  61.21   69.6
 03.12.2013      23         34      23.57  1.85  66.82  22.96  69.86
 04.12.2013       2         48       2.80   0.5  71.43 308.27  64.17
 04.12.2013       3         56       3.93  1.86  75.25 306.43  67.93
 04.12.2013      17         43      17.72  2.16  66.71 128.92  71.59
 05.12.2013       8         16       8.27 21.22  70.87 216.35  70.14
 05.12.2013      10         55      10.92  2.66  69.42 245.52  62.48
 06.12.2013      20         59      20.98 23.18  71.89   19.2   74.5
 07.12.2013       5         52       5.87 22.79  58.49  256.2  49.69
 07.12.2013      20         12      20.20  0.81  67.35  66.83  71.16
 08.12.2013       0         43       0.72  2.73  65.19  20.77  69.06
 08.12.2013       8          4       8.07  0.96     67 256.32  58.22
 08.12.2013      11         30      11.50 23.01  65.37 180.63  68.88
 08.12.2013      14         49      14.82  1.88  65.92  170.9  70.08
 08.12.2013      15         53      15.88  2.78  65.92  170.9  70.08
 09.12.2013      12          2      12.03  2.76  69.85 233.31  65.26
